Date,Clenow 动量 (Stocks on the Move),Minervini 趋势模板,HQM 高质量动量,"多因子动量 (FIP+偏度, Top5)",RSI(2) 均值回归 (Connors),动量 12-1 前 10% (Jegadeesh-Titman),52 周新高接近度 (George-Hwang),低波动 前 25% (long-only),低贝塔 前 10% (Betting Against Beta 多头腿),残差动量 前 10% (Blitz-Huij-Martens),短期反转 周度 10 只,12 个月季节性 (Heston-Sadka),一致性动量 (t−7..t−1 与 t−6..t 双前 10%),历史新高趋势跟踪 + ATR 止损,本仓库 C20 成交额加权 (strategy_final.py),本仓库 v6 动量 Top20 + 趋势过滤 (momentum.py),SPY 买入持有,成分股等权 (月调仓)
2010-02-23,-0.01171799365278772,-0.013568939836101471,-0.013535809426782248,-0.013200056278122645,0.0055947709294578325,-0.013055588224444485,-0.002692293702510258,-0.007263811183973337,-0.001502855410710878,-0.015003891242394794,-0.014559811003956959,-0.01032266950721736,4.5634921462762925e-06,-0.013268580115056565,-0.015036365711804712,-0.019994454533973274,-0.012144012600374232,-0.011159930412034086
2010-02-24,0.007185758206997685,0.010406947472268927,0.013150127578386964,0.00991800293331808,-0.010239343116493268,0.015113962421051112,0.003013761550665056,0.004732161044806267,0.005446963256923728,0.01621701943830415,0.010865162633398977,0.008001871209727186,4.365079341426728e-06,0.01108395055187761,0.01146579885025471,0.01271530054272415,0.009197438343098607,0.009572754590148473
2010-02-25,-0.00013342176761025037,0.0003047046560583852,0.001615621077547558,0.005620556375713177,-0.0006151306363227746,-0.00027743943981312297,0.0004671626120702638,-0.00201326678231713,0.0021724430122526607,0.0029396287346486975,-0.00017079625024155965,0.0006905457557156104,4.5634921462762925e-06,0.0011105770091321418,-0.0017263335534398652,-0.003439687327623968,-0.0013536795243718203,-5.65317236198888e-05
2010-02-26,0.0040146960947023535,0.0012651364928994442,0.006436108809634831,0.007882386179332488,0.003947839252954766,0.0003808489153251471,-0.00016567631126244775,-0.0036066777334089377,-0.0032837849508057793,0.004270709820735562,0.0030982527799895436,0.004128134677847233,4.5634921462762925e-06,-0.0018686222571880475,0.0021678761604504468,0.0015954196402416072,0.0006326598419905682,0.0017681668978375429
2010-03-01,0.023647580306309573,0.013910780305447127,0.015119792966748426,0.022959236111750575,0.016360522536094785,0.02764359557828653,0.0031399811435401472,0.009615714001959114,0.008652230687165254,0.02103491447015921,0.01557351051014846,0.016567655159314024,-0.00016190476201119876,0.01159245483885031,0.01072713574585152,0.02889174347768054,0.01038490483341925,0.014737142986585013
2010-03-02,0.003421428560546983,0.0031856912766095973,0.0015904187174260432,-0.00546077528838137,0.001350136013490679,0.0073694703645564765,0.0022705069656097704,0.0040539495164168115,0.005421356217126399,0.005857552553442528,0.012503238134904872,-0.002041820166124175,0.0015999095017528002,-0.012127617622385883,0.003186275957980633,0.01182442808351446,0.0027704961576859866,0.0036722939487915094
2010-03-03,-0.0012416038362398176,-0.0011805788109968784,-0.003628698927727729,0.005131481848481975,-0.00016850874746126372,0.003944558605747857,-0.001007858775950611,-0.0018013797956119414,0.0016414760750802068,-0.0003483186601549548,0.006749689887731671,-0.0001222699090154308,-0.00044342272150085316,-0.0022387857078253635,0.0006846086362436038,0.00581775449266249,0.0008913836385844309,0.00033004235553081226
2010-03-04,-0.00020303725247178983,0.0028804869095861523,0.004716685736519757,-0.0075738528520937504,0.004762908071004022,0.005563752636203013,0.002182839623686972,0.00260459120650123,0.0023950139756121914,0.00033574960603075096,0.005798176537979123,0.0076173957950955475,0.0009145022972901846,-0.004768602722578253,0.005878167852076031,0.0017926476307336236,0.0030274029520418466,0.003997407666064356
2010-03-05,0.01666074176286772,0.015836697230195464,0.016653225224977003,0.020860390466997888,0.009372155436789027,0.019618018930034585,0.008357212034819659,0.009738224816784323,0.003601107348103395,0.017803548675372566,0.012917723341508286,0.02043835585705768,0.0029613357515337483,0.01076919648881437,0.01671040013927745,0.017209789546708716,0.014293680485113258,0.016086248899558987
2010-03-08,-0.0026277409957044897,-0.001073101237872264,-0.0015343209737250347,-0.005984508810307023,0.0023546564515406323,-0.00216639885291123,-0.0004916730248512337,-0.0010832519432595784,-0.006731170678138514,-0.00517168117461431,0.0009424383056172631,0.006396218189436965,0.0003742673339003772,0.004849172985241731,0.0015667646911506996,-0.009708284354482503,0.00017482668029167314,0.0006139419339110904
